code,description,category,unitOfMeasure,minimumStock,currentStockInicial
103001,"BROCA LAMINA DE 1/8""",Mecánico,unidad,1,45
103002,"BROCA LAMINA DE 3/16""",Mecánico,unidad,1,12
103005,"BROCA LAMINA DE 3/8""",Mecánico,unidad,1,6
103011,"BROCA LAMINA DE 5/32""",Mecánico,unidad,1,22
103058,"BROCA PARA MURO DE 3/8"" X 6"" LISA",Mecánico,unidad,1,20
103062,"BROCA PARA MURO DE 3/8"" X 4"" RANURADA",Mecánico,unidad,1,19
103154,"DISCO PARA LA TROZADORA 14"" X 3/32"" X 1""",Mecánico,unidad,1,13
103159,"DISCO DE PULIR PARA LAMINA 4 1/2""",Mecánico,unidad,1,11
103251,HOJA DE LIJA 120,Mecánico,unidad,1,48
103253,HOJA DE LIJA 180,Mecánico,unidad,1,39
103301,HOJA DE SIERRA T18,Mecánico,unidad,1,10
103302,HOJA DE SIERRA T24,Mecánico,unidad,1,42
103354,"MACHUELO DE 3/16""",Mecánico,unidad,1,32
103355,"MACHUELO DE 3/8""",Mecánico,unidad,1,7
103358,MACHUELO M4,Mecánico,unidad,1,6
103359,MACHUELO M5,Mecánico,unidad,1,10
103360,MACHUELO M6,Mecánico,unidad,1,18
109301,CABLE # 2 DESNUDO AWG,Eléctrico,unidad,1,19
109351,CABLE # 2 NEGRO THHN AWG,Eléctrico,unidad,1,37
109354,CABLE 1/0 NEGRO THHN AWG,Eléctrico,unidad,1,43
109356,CABLE 3/0 NEGRO THHN AWG,Eléctrico,unidad,1,6
109357,CABLE 4/0 NEGRO THHN AWG,Eléctrico,unidad,1,40
109359,CABLE # 300 NEGRO THHN AWG,Eléctrico,unidad,1,17
109366,CABLE # 8 NEGRO THHN AWG,Eléctrico,unidad,1,50
109372,CABLE # 10 NEGRO THHN AWG,Eléctrico,unidad,1,46
109762,CABLE ENCAUCHETADO 3X14,Eléctrico,unidad,1,49
109763,CABLE ENCAUCHETADO 3X16,Eléctrico,unidad,1,39
109765,CABLE ENCAUCHETADO 4X6,Eléctrico,unidad,1,31
109766,CABLE ENCAUCHETADO 4X8,Eléctrico,unidad,1,19
109767,CABLE ENCAUCHETADO 4X10,Eléctrico,unidad,1,33
109962,CABLE VEHICULO # 8 VERDE TWK AWG,Eléctrico,unidad,1,42
109966,CABLE VEHICULO # 10 NEGRO TWK AWG,Eléctrico,unidad,1,22
114706,MINIBREAKER 1X10A ICN6KA CHINT NB1-63,Eléctrico,unidad,1,5
117509,BASE ADHESIVA X 100 UNDS VCP ACV0027,Eléctrico,unidad,1,15
117512,CORREILLAS DE 10 CMS X 100 UNDS,Eléctrico,unidad,1,49
117513,CORREILLAS DE 20 CMS X 100 UNDS,Eléctrico,unidad,1,32
117514,CORREILLAS DE 30 CMS X 100 UNDS,Eléctrico,unidad,1,26
117553,CONECTOR TUBULAR COBRE ESTANADO #6,Eléctrico,unidad,1,22
117557,CONECTOR TUBULAR COBRE ESTANADO 3/0,Eléctrico,unidad,1,14
117558,CONECTOR TUBULAR COBRE ESTANADO 4/0,Eléctrico,unidad,1,18
117560,CONECTOR TUBULAR COBRE ESTANADO 350 MCM,Eléctrico,unidad,1,26
117601,"TERMINAL ANILLO DE 1/4"" AMARI X 100 UNDS VCP VTA-5-5-6",Eléctrico,unidad,1,11
117651,"TERMINAL COBRE ESTANADA 1/0 PERFORACION DE 3/8""",Eléctrico,unidad,1,10
117657,"TERMINAL COBRE ESTANADA #6 PERFOR DE 1/4"" VCP VTC16-6",Eléctrico,unidad,1,29
117664,TERMINAL COBRE ESTANADA 350 MCM,Eléctrico,unidad,1,11
117901,TERMINAL TUBULAR #10-12 AMARILLA X 100 UNDS VCP VTB-5.5,Eléctrico,unidad,1,27
122169,CAJA PVC 2X4,Eléctrico,unidad,1,27
123052,"CORAZA METALICA 3/4""",Eléctrico,unidad,1,43
124152,"CONECTOR CURVO 3/4""",Eléctrico,unidad,1,21
124159,"CONECTOR RECTO 3/4""",Eléctrico,unidad,1,7
127001,"ESPARRAGO DE 1/4"" X 1 MTS",Eléctrico,unidad,1,34
127052,"GRAPA GALVANIZADA DOBLE ALA 3/4"" X 100 UNDS",Eléctrico,unidad,1,39
127353,"RL DE 3/8""",Eléctrico,unidad,1,12
131556,TOMA DOBLE POLO A T. 15A REGULADO BEIGE 5262-IGI LEVITON WID0030,Eléctrico,unidad,1,29
131563,TAPA TOMA DOBLE BEIGE LEVITON,Eléctrico,unidad,1,10
201917,TRANSFORMADOR DE CORRIENTE 1000/5A MAVILL,Eléctrico,unidad,1,40
203159,TERMINAL PIN AMARILLA X 100 UNDS VCP VTPN-2,Eléctrico,unidad,1,23
204401,"JUEGO DE GUAYAS DE 1,80 METROS PARA INTERRUPTOR EATON",Eléctrico,unidad,1,45
205643,UPS MONOFASICA DE 1 KVA,Eléctrico,unidad,1,44
206885,CONTACTOR PARA CONDENSADOR DILK25-11 25KVAR,Eléctrico,unidad,1,28
208127,INTERRUPTOR CAJA MOLDEADA LZMC1-A160,Eléctrico,unidad,1,41
209369,INTERRUPTOR CAJA MOLDEADA LZMC1-A100,Eléctrico,unidad,1,17
210611,INTERRUPTOR CAJA MOLDEADA LZMC1-A300,Eléctrico,unidad,1,50
211853,CONTACTO DE POSICION IZM-AS22,Eléctrico,unidad,1,9
213095,BORNAS ALUMINIO PARA 500 KCMIL,Consumible,unidad,1,7
214337,"GUAYAS PARA INTERRUTOR EATON DE 1,5 METROS",Consumible,unidad,1,47
215579,CT DE 1600/5 MAVILL,Consumible,unidad,1,19
216821,PLACA DE MONTAJE PARA ENCLAVAMIENTO DE INTERRUPTOR EATON,Consumible,unidad,1,23
218063,MARCO DE ENBELLECIMIENTO PARA INTERRUPTOR EATON,Consumible,unidad,1,10
219305,CABLE SOLDADOR (SANTA MARTHA),Consumible,unidad,1,19
220547,PLC MITSUBISHI,Consumible,unidad,1,11
221789,CABLE DE PROGRAMACION PARA PLC,Consumible,unidad,1,29
223031,CABLE PT 100,Consumible,unidad,1,22
224273,MOTOR DE CARGUE 110V PARA INTERRUPTOR TIPO ABIERTO EATON,Consumible,unidad,1,34
225515,BOBINA DE CIERRE EATON 110 V,Consumible,unidad,1,45
226757,BOBINA DE DISPARO 110 V,Consumible,unidad,1,28
227999,CONTACTO DE FALLA PARA INTERRUPTOR TIPO ABIERTO,Consumible,unidad,1,15
229241,CONDENSADOR ELECTRO LUZ 12 kvar,Consumible,unidad,1,28
230483,CONTACTORES MITSUBISHI SRN4,Consumible,unidad,1,27
231725,INTERRUPTOR CAJA MOLDEADA EATON DE 50 AMPERIOS,Consumible,unidad,1,18
232967,NARROW FRAME CELL REJECTION KIT BRACKET,Consumible,unidad,1,47
234209,FUSIBLE HH DE 25 AMPERIOS 36 KV,Consumible,unidad,1,22
235451,FUSIBLE HH DE 16 AMPERIOS DE 24 KV,Consumible,unidad,1,49
236693,JUEGO DE PREMOLDEADO DE 2 - 250 KCMIL RAYCHEM INTERIOR,Consumible,unidad,1,48
237935,JUEGO PREMOLDEADO 3M INTERIOR,Consumible,unidad,1,46
239177,CT DE 36 KV MEDIDA EN MEDIA TENSION CUCUTA,Consumible,unidad,1,9
240419,CT DE 24 KV MEDIDA EN MEDIA TENSION,Consumible,unidad,1,43
241661,PT DE 24 KV MEDIDA EN MEDIA TENSION,Consumible,unidad,1,45
242903,TRANSFORMADOR DE CORRIENTE 400/5 AMPERIOS,Consumible,unidad,1,15
244145,RELE DE TEMPERATURA PARA TRANSFORMADOR PT100,Consumible,unidad,1,39
